DATE,A229RX0
2008-12-01,35867
2009-01-01,35993
2009-02-01,35646
2009-03-01,35624
2009-04-01,35795
2009-05-01,36326
2009-06-01,35683
2009-07-01,35531
2009-08-01,35415
2009-09-01,35433
2009-10-01,35260
2009-11-01,35317
2009-12-01,35416
2010-01-01,35331
2010-02-01,35246
2010-03-01,35303
2010-04-01,35544
2010-05-01,35762.0
2010-06-01,35753.0
2010-07-01,35759.0
2010-08-01,35844.0
2010-09-01,35774.0
2010-10-01,35837.0
2010-11-01,35919.0
2010-12-01,36149.0
2011-01-01,36317.0
2011-02-01,36400.0
2011-03-01,36328.0
2011-04-01,36212.0
2011-05-01,36173.0
2011-06-01,36306.0
2011-07-01,36427.0
2011-08-01,36376.0
2011-09-01,36246.0
2011-10-01,36254.0
2011-11-01,36195.0
2011-12-01,36451.0
2012-01-01,36684.0
2012-02-01,36869.0
2012-03-01,36945.0
2012-04-01,37023.0
2012-05-01,37041.0
2012-06-01,37100.0
2012-07-01,36975
2012-08-01,36883
2012-09-01,37030.0
2012-10-01,37225
2012-11-01,37695.0
2012-12-01,38658.0
2013-01-01,36233.0
2013-02-01,36209.0
2013-03-01,36230.0
2013-04-01,36226.0
2013-05-01,36421.0
2013-06-01,36486.0
2013-07-01,36441.0
2013-08-01,36523.0
2013-09-01,36590.0
2013-10-01,36469.0
2013-11-01,36541.0
2013-12-01,36560.0
2014-01-01,36646.0
2014-02-01,36854.0
2014-03-01,37052.0
2014-04-01,37136.0
2014-05-01,37250.0
2014-06-01,37399.0
2014-07-01,37437.0
2014-08-01,37607.0
2014-09-01,37675.0
2014-10-01,37863.0
2014-11-01,38048.0
2014-12-01,38212.0
2015-01-01,38314.0
2015-02-01,38436.0
2015-03-01,38385.0
2015-04-01,38590.0
2015-05-01,38705.0
2015-06-01,38736.0
2015-07-01,38704.0
2015-08-01,38773.0
2015-09-01,38848.0
2015-10-01,38985.0
2015-11-01,38964.0
2015-12-01,38984.0
2016-01-01,38941.0
2016-02-01,38897.0
2016-03-01,38964.0
2016-04-01,39030.0
2016-05-01,39053.0
2016-06-01,39079.0
2016-07-01,39117.0
2016-08-01,39036.0
2016-09-01,38985.0
2016-10-01,38882.0
2016-11-01,38785.0
2016-12-01,38702.0
2017-01-01,38859.0
2017-02-01,38979.0
2017-03-01,39172.0
2017-04-01,39123.0
2017-05-01,39265.0
2017-06-01,39216.0
2017-07-01,39230.0
2017-08-01,39186.0
2017-09-01,39163.0
2017-10-01,39194.0
2017-11-01,39200.0
2017-12-01,39274.0
2018-01-01,39485.0
2018-02-01,39536.0
