DATE,TTLHH,,,,,,,,,,,,,,,,,
1/1/09,117181,,,,,,,,,,,,,,,,,
1/2/09,117181,,,,,,,,,,,,,,,,,
1/3/09,117181,,,,,,,,,,,,,,,,,
1/4/09,117181,,,,,,,,,,,,,,,,,
1/5/09,117181,,,,,,,,,,,,,,,,,
1/6/09,117181,,,,,,,,,,,,,,,,,
1/7/09,117181,,,,,,,,,,,,,,,,,
1/8/09,117181,,,,,,,,,,,,,,,,,
1/9/09,117181,,,,,,,,,,,,,,,,,
1/10/09,117181,,,,,,,,,,,,,,,,,
1/11/09,117181,,,,,,,,,,,,,,,,,
1/12/09,117181,,,,,,,,,,,,,,,,,
1/1/10,117538,,,,,,,,,,,,,,,,,
1/2/10,117538,,,,,,,,,,,,,,,,,
1/3/10,117538,,,,,,,,,,,,,,,,,
1/4/10,117538,,,,,,,,,,,,,,,,,
1/5/10,117538,,,,,,,,,,,,,,,,,
1/6/10,117538,,,,,,,,,,,,,,,,,
1/7/10,117538,,,,,,,,,,,,,,,,,
1/8/10,117538,,,,,,,,,,,,,,,,,
1/9/10,117538,,,,,,,,,,,,,,,,,
1/10/10,117538,,,,,,,,,,,,,,,,,
1/11/10,117538,,,,,,,,,,,,,,,,,
1/12/10,117538,,,,,,,,,,,,,,,,,
1/1/11,119927,,,,,,,,,,,,,,,,,
1/2/11,119927,,,,,,,,,,,,,,,,,
1/3/11,119927,,,,,,,,,,,,,,,,,
1/4/11,119927,,,,,,,,,,,,,,,,,
1/5/11,119927,,,,,,,,,,,,,,,,,
1/6/11,119927,,,,,,,,,,,,,,,,,
1/7/11,119927,,,,,,,,,,,,,,,,,
1/8/11,119927,,,,,,,,,,,,,,,,,
1/9/11,119927,,,,,,,,,,,,,,,,,
1/10/11,119927,,,,,,,,,,,,,,,,,
1/11/11,119927,,,,,,,,,,,,,,,,,
1/12/11,119927,,,,,,,,,,,,,,,,,
1/1/12,121084,,,,,,,,,,,,,,,,,
1/2/12,121084,,,,,,,,,,,,,,,,,
1/3/12,121084,,,,,,,,,,,,,,,,,
1/4/12,121084,,,,,,,,,,,,,,,,,
1/5/12,121084,,,,,,,,,,,,,,,,,
1/6/12,121084,,,,,,,,,,,,,,,,,
1/7/12,121084,,,,,,,,,,,,,,,,,
1/8/12,121084,,,,,,,,,,,,,,,,,
1/9/12,121084,,,,,,,,,,,,,,,,,
1/10/12,121084,,,,,,,,,,,,,,,,,
